Origin_Country_Cd,Origin_Route_City_Cd,Origin_Route_City_Nm,Origin_Area_Cd,Origin_Area_Nm,Meas_Type_Cd,Item_Id,Tag_Id,Planned_Drop_Date,Drop_Date,Dest_Country_Cd,Dest_Route_City_Cd,Dest_Route_City_Nm,Dest_Area_Cd,Dest_Area_Nm,Rcv_Date,Validated,Valid,Read_Dt,Read_Day,Site_Country_Cd,Site_Cd,Site_Nm,Site_Area_Nm,Reader,Reader_Id,Reader_Pse,Is_For_TD,FIR_PMC,Deletion_Reason_Cd,Deletion_Reason_Detail,TP_Read_After_Delivery,Has_TD_Read,Nr_Reads_Btw_Drop_And_Rcv,Nr_Reads_After_Delivery
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:42:05.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP66 Surface,J11DJ0001300000332,Reader at the office exit,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:42:05.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP67 Surface,J11DJ0001300000333,Reader at the office exit,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:44:15.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP66 Surface,J11DJ0001300000332,Reader at the office exit,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:45:05.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP67 Surface,J11DJ0001300000333,Reader at the office exit,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:46:16.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP66 Surface,J11DJ0001300000332,Reader at the office exit,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:47:15.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP67 Surface,J11DJ0001300000333,Reader at the office exit,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:48:26.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP66 Surface,J11DJ0001300000332,Reader at the office exit,1,0,,,0,1,64,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-16 22:49:16.0000000,Thursday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP67 Surface,J11DJ0001300000333,Reader at the office exit,1,0,,,0,1,64,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180130MK,J5GJ0001800092000,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,2018-09-19,1,1,2018-08-17 07:11:27.9000000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,94,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180129MK,J5GJ0001800091999,2018-08-07,2018-08-07,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-17 07:11:34.3940000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,15,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180129MK,J5GJ0001800091999,2018-08-07,2018-08-07,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-17 07:11:34.4360000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,15,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180130MK,J5GJ0001800092000,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,2018-09-19,1,1,2018-08-17 07:11:36.9490000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,94,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180313CU,J5GJ0001800076252,2018-08-07,2018-08-07,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-17 09:07:09.6920000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,6,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180316CU,J5GJ0001800076252,2018-08-13,2018-08-13,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,0,1,2018-08-17 09:07:09.6920000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180313CU,J5GJ0001800076252,2018-08-07,2018-08-07,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-17 09:34:10.3360000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,6,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180316CU,J5GJ0001800076252,2018-08-13,2018-08-13,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,0,1,2018-08-17 09:34:10.3360000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180130MK,J5GJ0001800092000,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,2018-09-19,1,1,2018-08-17 11:17:58.3560000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,94,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180129MK,J5GJ0001800091999,2018-08-07,2018-08-07,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-17 11:18:00.4640000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,15,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180128MK,J5GJ0001800091998,2018-08-07,2018-08-07,MK,MKGVL,Gevgelija,MKGCT,Gevgelija,2018-09-17,1,1,2018-08-17 11:18:07.1950000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,138,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180128MK,J5GJ0001800091998,2018-08-07,2018-08-07,MK,MKGVL,Gevgelija,MKGCT,Gevgelija,2018-09-17,1,1,2018-08-17 11:21:58.2190000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,138,0
