Origin_Country_Cd,Origin_Route_City_Cd,Origin_Route_City_Nm,Origin_Area_Cd,Origin_Area_Nm,Meas_Type_Cd,Item_Id,Tag_Id,Planned_Drop_Date,Drop_Date,Dest_Country_Cd,Dest_Route_City_Cd,Dest_Route_City_Nm,Dest_Area_Cd,Dest_Area_Nm,Rcv_Date,Validated,Valid,Read_Dt,Read_Day,Site_Country_Cd,Site_Cd,Site_Nm,Site_Area_Nm,Reader,Reader_Id,Reader_Pse,Is_For_TD,FIR_PMC,Deletion_Reason_Cd,Deletion_Reason_Detail,TP_Read_After_Delivery,Has_TD_Read,Nr_Reads_Btw_Drop_And_Rcv,Nr_Reads_After_Delivery
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180133MK,J5GJ0001800092003,2018-08-13,2018-08-13,MK,MKSKP,Skopje,MKSKP,Skopje,2018-10-03,0,1,2018-08-16 08:37:35.7460000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,43,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100MK,J5GJ0001800091970,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-16 08:37:36.5960000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180136UY,J5GJ0001800076886,2018-08-15,2018-08-15,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-16 08:37:37.2830000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,8,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180135UY,J5GJ0001800076885,2018-08-14,2018-08-14,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-16 08:37:37.5210000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100MK,J5GJ0001800091970,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-16 08:45:08.6800000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180135UY,J5GJ0001800076885,2018-08-14,2018-08-14,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-16 08:45:09.6700000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180136UY,J5GJ0001800076886,2018-08-15,2018-08-15,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-16 08:45:09.8010000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,8,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180133MK,J5GJ0001800092003,2018-08-13,2018-08-13,MK,MKSKP,Skopje,MKSKP,Skopje,2018-10-03,0,1,2018-08-16 08:45:11.3660000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP4,J11DJ0001700000049,Reader at the office entrance,1,0,,,0,1,43,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180132MK,J5GJ0001800092002,2018-08-09,2018-08-09,MK,MKSKP,Skopje,MKSKP,Skopje,2018-10-03,0,1,2018-08-16 10:17:36.5230000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,62,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180132MK,J5GJ0001800092002,2018-08-09,2018-08-09,MK,MKSKP,Skopje,MKSKP,Skopje,2018-10-03,0,1,2018-08-16 10:44:01.7090000,Thursday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,62,0
