Origin_Country_Cd,Origin_Route_City_Cd,Origin_Route_City_Nm,Origin_Area_Cd,Origin_Area_Nm,Meas_Type_Cd,Item_Id,Tag_Id,Planned_Drop_Date,Drop_Date,Dest_Country_Cd,Dest_Route_City_Cd,Dest_Route_City_Nm,Dest_Area_Cd,Dest_Area_Nm,Rcv_Date,Validated,Valid,Read_Dt,Read_Day,Site_Country_Cd,Site_Cd,Site_Nm,Site_Area_Nm,Reader,Reader_Id,Reader_Pse,Is_For_TD,FIR_PMC,Deletion_Reason_Cd,Deletion_Reason_Detail,TP_Read_After_Delivery,Has_TD_Read,Nr_Reads_Btw_Drop_And_Rcv,Nr_Reads_After_Delivery
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076850,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-03 14:44:12.9820000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-03 14:44:13.7000000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076851,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,,0,1,2018-08-03 14:45:57.4490000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100UY,J5GJ0001800076850,2018-08-01,2018-08-01,UY,UYMVD,Montevideo,UYMVD,Montevideo,2018-10-02,1,1,2018-08-03 14:45:59.0800000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,2,0
